Symbol,DateTime,Open,High,Low,Close,Volume,EMA,SuperTrend1,SuperTrend2,SuperTrend3,SuperTrend4,RSI,LowerBollingerBand,MiddleBollingerBand,UpperBollingerBand,macdValue,macdAvg
GLD,1/3/2006 12:00:00 AM,52.29,53.18,52.23,53.12,4606500,51.3144,50.9842,50.7001,52.9521,49.1629,71.206,48.8881,50.9675,53.0469,0.7081,0.6054
GLD,1/4/2006 12:00:00 AM,52.87,53.34,52.62,53.3,5287900,51.7115,51.9805,51.8047,50.9158,50.0355,71.9806,48.7824,51.0935,53.4046,0.8299,0.6503
GLD,1/5/2006 12:00:00 AM,52.56,52.72,52.1,52.34,7661800,51.8372,52.3437,52.1125,51.249,50.3889,62.347,48.7947,51.166,53.5373,0.8392,0.6881
GLD,1/6/2006 12:00:00 AM,53.14,53.87,53.04,53.72,4629800,52.2138,53.1278,51.482,50.5675,49.6637,68.8094,48.6659,51.286,53.9061,0.9471,0.7399
GLD,1/9/2006 12:00:00 AM,53.46,54.99,53.31,54.6,5394200,52.691,52.5959,52.4176,51.4096,50.425,72.098,48.4355,51.421,54.4065,1.091,0.8101
GLD,1/10/2006 12:00:00 AM,53.96,54.38,53.76,54.06,5700600,52.9648,53.1642,52.9957,51.8855,50.8108,67.4017,48.328,51.504,54.68,1.1483,0.8777
GLD,1/11/2006 12:00:00 AM,54.24,54.77,54.07,54.53,4209500,53.2778,53.2433,52.9729,51.9029,50.8568,69.2775,48.1883,51.6025,55.0167,1.2175,0.9457
GLD,1/12/2006 12:00:00 AM,54.21,54.64,54.01,54.43,3603000,53.5083,53.7252,53.3933,52.3774,51.3735,68.3759,48.1114,51.7415,55.3716,1.2499,1.0065
GLD,1/13/2006 12:00:00 AM,54.55,55.56,54.51,55.44,4346200,53.8946,53.7317,53.3704,52.4128,51.4564,72.2971,48.0887,51.996,55.9033,1.3417,1.0736
GLD,1/17/2006 12:00:00 AM,55.25,55.87,55.03,55.26,5130400,54.1677,54.3626,54.0485,53.0649,52.0862,70.6166,48.1814,52.247,56.3126,1.3839,1.1356
GLD,1/18/2006 12:00:00 AM,54.64,54.73,54.01,54.07,4565200,54.1482,54.8114,54.4901,53.5282,52.5672,60.5895,48.4329,52.446,56.4591,1.3062,1.1697
GLD,1/19/2006 12:00:00 AM,54.96,55.71,54.95,55.59,5290700,54.4365,55.1032,55.3826,52.3519,51.3537,67.0294,48.6154,52.7145,56.8136,1.3518,1.2062
GLD,1/20/2006 12:00:00 AM,56.12,56.6,55.02,55.2,7270600,54.5892,54.4309,54.2033,53.1015,52.0209,64.1336,49.1549,53.0225,56.8901,1.3409,1.2331
GLD,1/23/2006 12:00:00 AM,55.59,55.9,55.26,55.77,4968500,54.8254,54.8281,54.6009,53.4263,52.2807,66.4172,49.6832,53.3425,57.0018,1.3627,1.259
GLD,1/24/2006 12:00:00 AM,55.5,55.73,55.27,55.73,3419100,55.0063,54.7949,54.4635,53.3602,52.2706,66.0991,50.134,53.622,57.11,1.3609,1.2794
GLD,1/25/2006 12:00:00 AM,56.22,56.53,55.74,56.14,10005200,55.233,54.8889,54.4956,53.4835,52.469,67.8011,50.6643,53.923,57.1817,1.3768,1.2989
GLD,1/26/2006 12:00:00 AM,55.53,55.91,55.27,55.88,4306500,55.3624,55.5444,55.1677,54.1879,53.2011,65.5535,51.1925,54.185,57.1775,1.3528,1.3097
GLD,1/27/2006 12:00:00 AM,55.96,56.23,55.47,55.63,4285400,55.4159,54.992,54.6404,53.6775,52.7059,63.378,51.6135,54.393,57.1725,1.2986,1.3075
GLD,1/30/2006 12:00:00 AM,55.97,56.7,55.95,56.68,3969200,55.6688,55.2784,54.9349,54.0029,53.0588,68.1578,52.0475,54.6535,57.2595,1.3251,1.311
GLD,1/31/2006 12:00:00 AM,56.57,57.05,56.53,56.7,5011700,55.875,55.6824,55.3817,54.4291,53.4694,68.2428,52.5691,54.9095,57.2499,1.3324,1.3153
GLD,2/1/2006 12:00:00 AM,56.79,56.9,56.08,56.7,4700900,56.04,56.2589,55.9237,55.0367,54.1337,68.2428,52.7755,55.0885,57.4015,1.3229,1.3168
GLD,2/2/2006 12:00:00 AM,57.04,57.3,56.67,56.98,5114300,56.228,55.9417,55.6321,54.7556,53.8639,69.5624,52.9724,55.2725,57.5726,1.3227,1.318
GLD,2/3/2006 12:00:00 AM,57.07,57.2,56.25,56.5,5054000,56.2824,56.4796,56.1685,55.3297,54.4722,64.6063,53.5573,55.4805,57.4037,1.2692,1.3082
GLD,2/6/2006 12:00:00 AM,56.76,57.15,56.65,56.72,3455200,56.3699,56.1558,55.8843,55.0289,54.1603,65.8087,53.815,55.6305,57.446,1.2304,1.2927
GLD,2/7/2006 12:00:00 AM,55.88,55.92,54.33,54.6,10197200,56.0159,56.3765,56.0939,55.2699,54.4299,48.6554,53.815,55.6305,57.446,1.0169,1.2375
GLD,2/8/2006 12:00:00 AM,54.7,55.08,54.41,54.83,5375900,55.7788,56.1083,56.219,57.2801,51.9318,50.1728,53.9587,55.669,57.3793,0.8563,1.1613
GLD,2/9/2006 12:00:00 AM,55.72,56.45,55.55,56.18,5299300,55.859,55.5226,55.7619,56.7642,51.7338,58.0159,54.1112,55.7515,57.3918,0.8284,1.0947
GLD,2/10/2006 12:00:00 AM,55.74,55.74,54.42,54.79,4328600,55.6452,55.0798,54.8734,58.2227,52.7044,49.3947,54.1805,55.7695,57.3585,0.6863,1.013
GLD,2/13/2006 12:00:00 AM,54.64,54.9,53.55,53.72,5122900,55.2602,56.1249,56.3218,57.5189,51.4791,43.9772,53.8631,55.6835,57.5039,0.4817,0.9068
GLD,2/14/2006 12:00:00 AM,53.94,54.53,53.68,54.49,3611000,55.1061,55.2299,55.4864,56.7074,50.555,48.366,53.759,55.645,57.531,0.3774,0.8009
GLD,2/15/2006 12:00:00 AM,54.3,54.3,53.33,53.76,4813900,54.8369,54.946,55.2916,56.457,50.6073,44.784,53.6877,55.6295,57.5713,0.2331,0.6873
GLD,2/16/2006 12:00:00 AM,53.42,54.54,53.42,54.52,5589300,54.7735,54.6444,54.9968,56.1617,50.32,49.0174,53.5748,55.576,57.5772,0.1781,0.5855
GLD,2/17/2006 12:00:00 AM,54.67,55.2,54.6,54.96,3927200,54.8108,54.7912,55.1506,56.3089,50.5058,51.3432,53.5511,55.564,57.5769,0.168,0.502
GLD,2/21/2006 12:00:00 AM,55.14,55.34,55,55.12,3352600,54.8727,54.2229,55.9814,57.0674,51.6464,52.1972,53.5119,55.5315,57.5511,0.171,0.4358
GLD,2/22/2006 12:00:00 AM,54.97,55.35,54.86,55.34,3835700,54.9661,54.6573,56.1238,57.1028,52.2416,53.4082,53.493,55.512,57.531,0.1889,0.3864
GLD,2/23/2006 12:00:00 AM,55.08,55.11,54.55,54.64,2428700,54.9009,54.6602,55.9745,56.879,52.401,49.1425,53.4054,55.437,57.4686,0.1449,0.3381
GLD,2/24/2006 12:00:00 AM,55.21,55.71,55.03,55.64,4927100,55.0487,55.3181,55.6851,56.5717,52.1774,54.7078,53.4012,55.425,57.4488,0.1886,0.3082
GLD,2/27/2006 12:00:00 AM,55.26,55.32,55.01,55.22,2291600,55.083,54.7775,56.2641,57.1781,52.6316,52.1277,53.3811,55.4045,57.4279,0.1872,0.284
GLD,2/28/2006 12:00:00 AM,55.43,56.07,55.3,56.07,3425900,55.2804,54.6331,56.0111,56.8817,52.5571,56.5897,53.411,55.374,57.337,0.2517,0.2775
GLD,3/1/2006 12:00:00 AM,56.02,56.42,55.92,56.1,4266500,55.4443,55.1279,54.8382,57.3989,53.086,56.743,53.4457,55.344,57.2423,0.3018,0.2824
GLD,3/2/2006 12:00:00 AM,56.15,56.82,55.99,56.74,3862000,55.7034,55.6957,55.3862,57.765,53.7401,59.9881,53.4419,55.346,57.2501,0.3887,0.3037
