Symbol,DateTime,Open,High,Low,Close,Volume,EMA,SuperTrend1,SuperTrend2,SuperTrend3,SuperTrend4,RSI,LowerBollingerBand,MiddleBollingerBand,UpperBollingerBand,macdValue,macdAvg
SPX,1/2/1962 12:00:00 AM,71.55,71.96,70.71,70.96,0,71.3761,71.418,71.3322,71.111,70.8877,43.9708,70.654,71.7,72.746,0.0537,0.189
SPX,1/3/1962 12:00:00 AM,70.96,71.48,70.38,71.13,0,71.3269,71.7642,71.7405,72.1175,70.1977,46.743,70.592,71.656,72.72,0.0261,0.1564
SPX,1/4/1962 12:00:00 AM,71.13,71.62,70.45,70.64,0,71.1895,71.4955,71.4617,71.9487,69.46,40.5198,70.4483,71.5915,72.7347,-0.0349,0.1181
SPX,1/5/1962 12:00:00 AM,70.64,70.84,69.35,69.66,0,70.8836,71.7019,71.6828,72.2739,69.2511,31.49,70.0725,71.475,72.8775,-0.1605,0.0624
SPX,1/8/1962 12:00:00 AM,69.66,69.84,68.17,69.12,0,70.5309,70.9124,70.8959,71.6241,67.8979,27.8121,69.6141,71.346,73.0779,-0.3002,-0.0101
SPX,1/9/1962 12:00:00 AM,69.12,69.93,68.83,69.15,0,70.2547,69.963,69.9639,70.8359,66.3751,28.313,69.2562,71.2015,73.1468,-0.4038,-0.0888
SPX,1/10/1962 12:00:00 AM,69.15,69.58,68.62,68.96,0,69.9958,70.2628,70.3646,71.2724,66.647,27.0335,68.9351,71.03,73.1249,-0.4955,-0.1702
SPX,1/11/1962 12:00:00 AM,68.96,69.54,68.57,69.37,0,69.8706,69.8985,70.0801,70.997,66.3444,33.9681,68.7893,70.8665,72.9437,-0.529,-0.2419
SPX,1/12/1962 12:00:00 AM,69.37,70.17,69.23,69.61,0,69.8185,69.8057,70.0333,70.9592,66.2757,37.7005,68.7226,70.7205,72.7184,-0.53,-0.2996
SPX,1/15/1962 12:00:00 AM,69.61,69.96,69.06,69.47,0,69.7488,70.4136,70.6713,71.6002,66.9144,36.4077,68.6141,70.595,72.5759,-0.536,-0.3468
SPX,1/16/1962 12:00:00 AM,69.47,69.61,68.68,69.07,0,69.613,70.1902,70.4683,71.3935,66.7376,32.9329,68.4726,70.448,72.4234,-0.5665,-0.3908
SPX,1/17/1962 12:00:00 AM,69.07,69.31,68.13,68.32,0,69.3544,69.8135,70.0982,71.0246,66.3699,27.6116,68.1914,70.276,72.3606,-0.6437,-0.4414
SPX,1/18/1962 12:00:00 AM,68.32,68.73,67.75,68.39,0,69.1615,69.4515,69.7144,70.6796,65.8272,28.7685,67.946,70.1325,72.319,-0.6914,-0.4914
SPX,1/19/1962 12:00:00 AM,68.39,70.08,68.14,68.75,0,69.0792,68.9533,69.2318,70.1997,65.3399,34.5606,67.7977,70.014,72.2303,-0.6921,-0.5315
SPX,1/22/1962 12:00:00 AM,68.75,69.37,68.45,68.81,0,69.0254,70.0812,70.2742,71.3897,65.7607,35.5019,67.6717,69.9115,72.1513,-0.6799,-0.5612
SPX,1/23/1962 12:00:00 AM,68.81,68.96,68,68.29,0,68.8783,69.7503,70.0298,71.1165,65.6514,31.2997,67.4839,69.7805,72.0771,-0.7042,-0.5898
SPX,1/24/1962 12:00:00 AM,68.29,68.68,67.55,68.4,0,68.7826,69.253,69.5707,70.6387,65.2796,33.1036,67.3517,69.6495,71.9473,-0.7064,-0.6131
SPX,1/25/1962 12:00:00 AM,68.4,69.05,68.1,68.35,0,68.6961,68.8952,69.2129,70.2906,64.8855,32.6835,67.3147,69.4845,71.6543,-0.704,-0.6313
SPX,1/26/1962 12:00:00 AM,68.35,68.67,67.83,68.13,0,68.5829,69.3091,69.646,70.7047,65.4038,30.8296,67.3126,69.3065,71.3004,-0.7117,-0.6474
SPX,1/29/1962 12:00:00 AM,68.13,68.5,67.55,67.9,0,68.4463,68.9257,69.279,70.3047,65.179,28.979,67.3264,69.124,70.9216,-0.728,-0.6635
SPX,1/30/1962 12:00:00 AM,67.9,68.65,67.62,68.17,0,68.3911,68.6964,69.0396,70.0539,64.988,33.9885,67.3532,68.9845,70.6158,-0.7109,-0.673
SPX,1/31/1962 12:00:00 AM,68.17,69.09,68.12,68.84,0,68.4808,68.8262,69.1524,70.1691,65.0899,44.4578,67.5691,68.87,70.1709,-0.6359,-0.6655
SPX,2/1/1962 12:00:00 AM,68.84,69.65,68.56,69.26,0,68.6367,67.9187,69.6138,70.6234,65.5807,49.8295,67.7632,68.801,69.8388,-0.5365,-0.6397
SPX,2/2/1962 12:00:00 AM,69.26,70.02,69.02,69.81,0,68.8713,68.388,70.1286,71.1504,66.0429,55.851,67.7441,68.8085,69.8729,-0.4085,-0.5935
SPX,2/5/1962 12:00:00 AM,69.81,70.3,69.42,69.88,0,69.0731,68.8098,70.5393,71.5578,66.4674,56.5655,67.6901,68.8465,70.0029,-0.2981,-0.5344
SPX,2/6/1962 12:00:00 AM,69.88,70.32,69.41,69.96,0,69.2505,69.1875,70.854,71.8515,66.8709,57.4138,67.6379,68.887,70.1361,-0.2018,-0.4679
SPX,2/7/1962 12:00:00 AM,69.96,70.67,69.78,70.42,0,69.4844,69.2067,70.8437,71.8279,66.9158,62.0083,67.543,68.96,70.377,-0.0873,-0.3918
SPX,2/8/1962 12:00:00 AM,70.42,70.95,70.16,70.58,0,69.7035,69.5808,71.1876,72.1574,67.3187,63.484,67.4442,69.0205,70.5968,0.0161,-0.3102
SPX,2/9/1962 12:00:00 AM,70.58,70.83,69.93,70.48,0,69.8588,69.9473,71.4862,72.4287,67.7312,61.8666,67.3807,69.064,70.7473,0.089,-0.2303
SPX,2/12/1962 12:00:00 AM,70.48,70.81,70.14,70.46,0,69.979,69.7634,71.3055,72.2414,67.5753,61.5289,67.3301,69.1135,70.8969,0.1435,-0.1556
SPX,2/13/1962 12:00:00 AM,70.46,70.89,70.07,70.45,0,70.0732,69.9174,71.3541,72.2495,67.7925,61.3486,67.3068,69.1825,71.0582,0.1838,-0.0877
