Symbol,DateTime,Open,High,Low,Close,EMA
SPX,1/2/1962 12:00:00 AM,71.55,71.96,70.71,70.96,70.7515
SPX,1/3/1962 12:00:00 AM,70.96,71.48,70.38,71.13,70.7664
SPX,1/4/1962 12:00:00 AM,71.13,71.62,70.45,70.64,70.7614
SPX,1/5/1962 12:00:00 AM,70.64,70.84,69.35,69.66,70.7182
SPX,1/8/1962 12:00:00 AM,69.66,69.84,68.17,69.12,70.6555
SPX,1/9/1962 12:00:00 AM,69.12,69.93,68.83,69.15,70.5965
SPX,1/10/1962 12:00:00 AM,69.15,69.58,68.62,68.96,70.5323
SPX,1/11/1962 12:00:00 AM,68.96,69.54,68.57,69.37,70.4867
SPX,1/12/1962 12:00:00 AM,69.37,70.17,69.23,69.61,70.4524
SPX,1/15/1962 12:00:00 AM,69.61,69.96,69.06,69.47,70.4138
SPX,1/16/1962 12:00:00 AM,69.47,69.61,68.68,69.07,70.3611
SPX,1/17/1962 12:00:00 AM,69.07,69.31,68.13,68.32,70.2811
SPX,1/18/1962 12:00:00 AM,68.32,68.73,67.75,68.39,70.2069
SPX,1/19/1962 12:00:00 AM,68.39,70.08,68.14,68.75,70.1498
SPX,1/22/1962 12:00:00 AM,68.75,69.37,68.45,68.81,70.0973
SPX,1/23/1962 12:00:00 AM,68.81,68.96,68,68.29,70.0264
SPX,1/24/1962 12:00:00 AM,68.29,68.68,67.55,68.4,69.9626
SPX,1/25/1962 12:00:00 AM,68.4,69.05,68.1,68.35,69.8994
SPX,1/26/1962 12:00:00 AM,68.35,68.67,67.83,68.13,69.83
SPX,1/29/1962 12:00:00 AM,68.13,68.5,67.55,67.9,69.7543
SPX,1/30/1962 12:00:00 AM,67.9,68.65,67.62,68.17,69.6922
SPX,1/31/1962 12:00:00 AM,68.17,69.09,68.12,68.84,69.6587
SPX,2/1/1962 12:00:00 AM,68.84,69.65,68.56,69.26,69.6431
SPX,2/2/1962 12:00:00 AM,69.26,70.02,69.02,69.81,69.6497
SPX,2/5/1962 12:00:00 AM,69.81,70.3,69.42,69.88,69.6587
SPX,2/6/1962 12:00:00 AM,69.88,70.32,69.41,69.96,69.6705
SPX,2/7/1962 12:00:00 AM,69.96,70.67,69.78,70.42,69.6999
SPX,2/8/1962 12:00:00 AM,70.42,70.95,70.16,70.58,69.7344
SPX,2/9/1962 12:00:00 AM,70.58,70.83,69.93,70.48,69.7636
SPX,2/12/1962 12:00:00 AM,70.48,70.81,70.14,70.46,69.791
SPX,2/13/1962 12:00:00 AM,70.46,70.89,70.07,70.45,69.8168
SPX,2/14/1962 12:00:00 AM,70.45,70.79,70.03,70.42,69.8405
SPX,2/15/1962 12:00:00 AM,70.42,71.06,70.23,70.74,69.8757
SPX,2/16/1962 12:00:00 AM,70.74,71.13,70.27,70.59,69.9037
SPX,2/19/1962 12:00:00 AM,70.59,70.96,70.12,70.41,69.9236
SPX,2/20/1962 12:00:00 AM,70.41,70.91,70.13,70.66,69.9525
SPX,2/21/1962 12:00:00 AM,70.66,70.97,70.12,70.32,69.9669
SPX,2/23/1962 12:00:00 AM,70.32,70.57,69.73,70.16,69.9745
SPX,2/26/1962 12:00:00 AM,70.16,70.33,69.44,69.76,69.966
SPX,2/27/1962 12:00:00 AM,69.76,70.32,69.48,69.89,69.9631
SPX,2/28/1962 12:00:00 AM,69.89,70.42,69.57,69.96,69.9629
SPX,3/1/1962 12:00:00 AM,69.96,70.6,69.76,70.2,69.9722
SPX,3/2/1962 12:00:00 AM,70.16,70.16,69.75,70.16,69.9796
SPX,3/5/1962 12:00:00 AM,70.16,70.48,69.65,70.01,69.9808
SPX,3/6/1962 12:00:00 AM,70.01,70.24,69.46,69.78,69.9729
SPX,3/7/1962 12:00:00 AM,69.78,70.07,69.37,69.69,69.9618
SPX,3/8/1962 12:00:00 AM,69.69,70.37,69.4,70.19,69.9708
SPX,3/9/1962 12:00:00 AM,70.19,70.71,70,70.42,69.9884
SPX,3/12/1962 12:00:00 AM,70.42,70.76,70.02,70.4,70.0045
SPX,3/13/1962 12:00:00 AM,70.4,70.86,70.06,70.6,70.0279
SPX,3/14/1962 12:00:00 AM,70.6,71.25,70.48,70.91,70.0625
SPX,3/15/1962 12:00:00 AM,70.91,71.44,70.59,71.06,70.1016
SPX,3/16/1962 12:00:00 AM,71.06,71.34,70.67,70.94,70.1345
SPX,3/19/1962 12:00:00 AM,70.94,71.31,70.53,70.85,70.1625
SPX,3/20/1962 12:00:00 AM,70.85,71.08,70.4,70.66,70.182
SPX,3/21/1962 12:00:00 AM,70.66,70.93,70.16,70.51,70.1949
SPX,3/22/1962 12:00:00 AM,70.51,70.84,70.14,70.4,70.2029
SPX,3/23/1962 12:00:00 AM,70.4,70.78,70.12,70.45,70.2126
SPX,3/26/1962 12:00:00 AM,70.45,70.63,69.73,69.89,70.2
SPX,3/27/1962 12:00:00 AM,69.89,70.2,69.41,69.7,70.1804
SPX,3/28/1962 12:00:00 AM,69.7,70.33,69.54,70.04,70.1749
SPX,3/29/1962 12:00:00 AM,70.04,70.5,69.81,70.01,70.1684
SPX,3/30/1962 12:00:00 AM,70.01,70.09,69.16,69.55,70.1442
SPX,4/2/1962 12:00:00 AM,69.55,69.82,69.13,69.37,70.1138
SPX,4/3/1962 12:00:00 AM,69.37,69.53,68.53,68.81,70.0627
SPX,4/4/1962 12:00:00 AM,68.81,69.22,68.33,68.49,70.001
SPX,4/5/1962 12:00:00 AM,68.49,69.09,68.12,68.91,69.9582
SPX,4/6/1962 12:00:00 AM,68.91,69.42,68.58,68.84,69.9144
SPX,4/9/1962 12:00:00 AM,68.84,69.02,68.09,68.31,69.8514
SPX,4/10/1962 12:00:00 AM,68.31,68.8,67.94,68.56,69.8008
SPX,4/11/1962 12:00:00 AM,68.56,69.26,68.24,68.41,69.7463
SPX,4/12/1962 12:00:00 AM,68.41,68.43,67.47,67.9,69.6739
SPX,4/13/1962 12:00:00 AM,67.9,68.11,67.03,67.9,69.6043
SPX,4/16/1962 12:00:00 AM,67.9,68.19,67.21,67.6,69.5257
SPX,4/17/1962 12:00:00 AM,67.6,68.2,67.24,67.9,69.4619
SPX,4/18/1962 12:00:00 AM,67.9,68.72,67.83,68.27,69.4152
SPX,4/19/1962 12:00:00 AM,68.27,68.9,68.07,68.59,69.3828
SPX,4/23/1962 12:00:00 AM,68.59,69.01,68.17,68.53,69.3494
SPX,4/24/1962 12:00:00 AM,68.53,68.91,68.16,68.46,69.3145
SPX,4/25/1962 12:00:00 AM,68.46,68.58,67.53,67.71,69.2516
SPX,4/26/1962 12:00:00 AM,67.71,67.97,66.92,67.05,69.1653
SPX,4/27/1962 12:00:00 AM,67.05,67.61,65.99,66.3,69.0529
SPX,4/30/1962 12:00:00 AM,66.3,66.9,64.95,65.24,68.9034
SPX,5/2/1962 12:00:00 AM,65.7,66.67,65.56,65.99,68.7891
SPX,5/3/1962 12:00:00 AM,65.99,66.93,65.81,66.53,68.7005
SPX,5/4/1962 12:00:00 AM,66.53,66.8,65.8,66.24,68.604
SPX,5/7/1962 12:00:00 AM,66.24,66.56,65.66,66.02,68.5027
SPX,5/8/1962 12:00:00 AM,66.02,66.13,64.88,65.17,68.372
SPX,5/9/1962 12:00:00 AM,65.17,65.17,64.02,64.26,68.2107
SPX,5/10/1962 12:00:00 AM,64.26,64.39,62.99,63.57,68.0288
SPX,5/11/1962 12:00:00 AM,63.57,64.1,62.44,62.65,67.8178
SPX,5/14/1962 12:00:00 AM,62.65,63.31,61.11,63.1,67.6328
SPX,5/15/1962 12:00:00 AM,63.41,64.87,63.41,64.29,67.5017
SPX,5/16/1962 12:00:00 AM,64.29,64.88,63.82,64.27,67.375
SPX,5/17/1962 12:00:00 AM,64.27,64.41,63.38,63.93,67.2399
SPX,5/18/1962 12:00:00 AM,63.93,64.14,63.29,63.82,67.1058
SPX,5/21/1962 12:00:00 AM,63.82,64,63.21,63.59,66.9679
SPX,5/22/1962 12:00:00 AM,63.59,63.69,62.26,62.34,66.7864
SPX,5/23/1962 12:00:00 AM,62.34,62.42,60.9,61.11,66.5638
SPX,5/24/1962 12:00:00 AM,61.11,61.79,60.36,60.62,66.3307
SPX,5/25/1962 12:00:00 AM,60.62,60.98,59,59.47,66.0617
SPX,5/28/1962 12:00:00 AM,59.15,59.15,55.42,55.5,65.6475
SPX,5/29/1962 12:00:00 AM,55.5,58.29,53.13,58.08,65.3507
SPX,5/31/1962 12:00:00 AM,58.8,60.82,58.8,59.63,65.1264
SPX,6/4/1962 12:00:00 AM,59.12,59.12,57.14,57.27,64.8183
SPX,6/5/1962 12:00:00 AM,57.27,58.42,56.33,57.57,64.534
SPX,6/6/1962 12:00:00 AM,57.64,59.17,57.64,58.39,64.2931
SPX,6/7/1962 12:00:00 AM,58.39,58.9,58,58.4,64.062
SPX,6/8/1962 12:00:00 AM,58.4,58.97,58.14,58.45,63.8419
SPX,6/11/1962 12:00:00 AM,58.45,58.58,57.51,57.82,63.6058
SPX,6/12/1962 12:00:00 AM,57.66,57.66,56.23,56.34,63.3208
SPX,6/13/1962 12:00:00 AM,56.34,56.8,55.24,55.5,63.0141
SPX,6/14/1962 12:00:00 AM,55.5,56,54.12,54.33,62.6736
SPX,6/15/1962 12:00:00 AM,54.33,55.96,53.66,55.89,62.4076
SPX,6/18/1962 12:00:00 AM,55.89,56.53,54.97,55.74,62.1461
SPX,6/19/1962 12:00:00 AM,55.74,55.88,54.98,55.54,61.887
SPX,6/20/1962 12:00:00 AM,55.54,55.92,54.66,54.78,61.6083
SPX,6/21/1962 12:00:00 AM,54.78,54.78,53.5,53.59,61.2939
SPX,6/22/1962 12:00:00 AM,53.59,53.78,52.48,52.68,60.9561
SPX,6/25/1962 12:00:00 AM,52.68,52.96,51.35,52.45,60.6225
SPX,6/26/1962 12:00:00 AM,52.45,53.58,52.1,52.32,60.2969
SPX,6/27/1962 12:00:00 AM,52.32,52.83,51.77,52.6,59.9951
SPX,6/28/1962 12:00:00 AM,52.98,54.64,52.98,54.41,59.7761
SPX,6/29/1962 12:00:00 AM,54.41,55.47,54.2,54.75,59.579
SPX,7/3/1962 12:00:00 AM,55.86,56.74,55.57,56.49,59.4578
SPX,7/5/1962 12:00:00 AM,56.49,57.1,56.15,56.81,59.354
SPX,7/6/1962 12:00:00 AM,56.73,56.73,55.64,56.17,59.2291
SPX,7/9/1962 12:00:00 AM,56.17,56.73,55.54,56.55,59.1241
SPX,7/10/1962 12:00:00 AM,56.99,58.36,56.99,57.2,59.0486
SPX,7/11/1962 12:00:00 AM,57.2,57.95,56.77,57.73,58.9969
SPX,7/12/1962 12:00:00 AM,57.73,58.67,57.59,58.03,58.959
SPX,7/13/1962 12:00:00 AM,58.03,58.18,57.23,57.83,58.9147
SPX,7/16/1962 12:00:00 AM,57.83,58.1,57.18,57.83,58.8722
SPX,7/17/1962 12:00:00 AM,57.83,57.96,56.68,56.78,58.7901
SPX,7/18/1962 12:00:00 AM,56.78,56.81,55.86,56.2,58.6885
SPX,7/19/1962 12:00:00 AM,56.2,56.95,55.96,56.42,58.5996
SPX,7/20/1962 12:00:00 AM,56.42,57.09,56.27,56.81,58.5294
SPX,7/23/1962 12:00:00 AM,56.81,57.32,56.53,56.8,58.4616
SPX,7/24/1962 12:00:00 AM,56.8,56.93,56.14,56.36,58.3792
SPX,7/25/1962 12:00:00 AM,56.36,56.67,55.78,56.46,58.3039
SPX,7/26/1962 12:00:00 AM,56.46,57.18,56.16,56.77,58.2438
SPX,7/27/1962 12:00:00 AM,56.77,57.36,56.56,57.2,58.2028
SPX,7/30/1962 12:00:00 AM,57.2,57.98,57.08,57.83,58.1882
SPX,7/31/1962 12:00:00 AM,57.83,58.58,57.74,58.23,58.1898
SPX,8/2/1962 12:00:00 AM,57.75,58.2,57.38,57.98,58.1816
SPX,8/3/1962 12:00:00 AM,57.98,58.32,57.63,58.12,58.1792
SPX,8/6/1962 12:00:00 AM,58.12,58.35,57.54,57.75,58.1624
SPX,8/7/1962 12:00:00 AM,57.75,57.81,57.07,57.36,58.1309
SPX,8/8/1962 12:00:00 AM,57.36,57.64,56.76,57.51,58.1065
SPX,8/9/1962 12:00:00 AM,57.51,57.88,57.19,57.57,58.0855
SPX,8/10/1962 12:00:00 AM,57.57,57.85,57.16,57.55,58.0645
SPX,8/13/1962 12:00:00 AM,57.55,57.9,57.22,57.63,58.0475
SPX,8/14/1962 12:00:00 AM,57.63,58.43,57.41,58.25,58.0554
SPX,8/15/1962 12:00:00 AM,58.25,59.11,58.22,58.66,58.0791
SPX,8/16/1962 12:00:00 AM,58.66,59.11,58.24,58.64,58.1011
SPX,8/17/1962 12:00:00 AM,58.64,59.24,58.43,59.01,58.1368
SPX,8/20/1962 12:00:00 AM,59.01,59.72,58.9,59.37,58.1851
SPX,8/21/1962 12:00:00 AM,59.37,59.66,58.9,59.12,58.2218
SPX,8/22/1962 12:00:00 AM,59.12,59.93,58.91,59.78,58.2829
SPX,8/23/1962 12:00:00 AM,59.78,60.33,59.47,59.7,58.3385
SPX,8/24/1962 12:00:00 AM,59.7,59.92,59.18,59.58,58.3872
SPX,8/27/1962 12:00:00 AM,59.58,59.94,59.24,59.55,58.4328
SPX,8/28/1962 12:00:00 AM,59.55,59.61,58.66,58.79,58.4468
SPX,8/29/1962 12:00:00 AM,58.79,58.96,58.17,58.66,58.4551
SPX,8/30/1962 12:00:00 AM,58.66,59.06,58.39,58.68,58.4639
SPX,8/31/1962 12:00:00 AM,58.68,59.25,58.45,59.12,58.4897
SPX,9/5/1962 12:00:00 AM,58.56,58.77,57.95,58.12,58.4752
SPX,9/6/1962 12:00:00 AM,58.12,58.6,57.72,58.36,58.4707
SPX,9/7/1962 12:00:00 AM,58.36,58.9,58.09,58.38,58.4671
SPX,9/10/1962 12:00:00 AM,58.38,58.64,57.88,58.45,58.4664
SPX,9/11/1962 12:00:00 AM,58.45,58.93,58.17,58.59,58.4713
SPX,9/12/1962 12:00:00 AM,58.59,59.06,58.4,58.84,58.4857
SPX,9/13/1962 12:00:00 AM,58.84,59.18,58.46,58.7,58.4941
SPX,9/14/1962 12:00:00 AM,58.7,59.14,58.4,58.89,58.5097
SPX,9/17/1962 12:00:00 AM,58.89,59.42,58.65,59.08,58.532
SPX,9/18/1962 12:00:00 AM,59.08,59.54,58.77,59.03,58.5516
SPX,9/19/1962 12:00:00 AM,59.03,59.26,58.59,58.95,58.5672
SPX,9/20/1962 12:00:00 AM,58.95,59.29,58.33,58.54,58.5661
SPX,9/21/1962 12:00:00 AM,58.54,58.64,57.43,57.69,58.5318
SPX,9/24/1962 12:00:00 AM,57.45,57.45,56.3,56.63,58.4572
SPX,9/25/1962 12:00:00 AM,56.63,57.22,56.12,56.96,58.3985
SPX,9/26/1962 12:00:00 AM,56.96,57.29,55.92,56.15,58.3103
SPX,9/27/1962 12:00:00 AM,56.15,56.55,55.53,55.77,58.2107
SPX,9/28/1962 12:00:00 AM,55.77,56.58,55.59,56.27,58.1346
SPX,10/2/1962 12:00:00 AM,55.49,56.46,55.31,56.1,58.0548
SPX,10/3/1962 12:00:00 AM,56.1,56.71,55.84,56.16,57.9805
SPX,10/4/1962 12:00:00 AM,56.16,56.84,55.9,56.7,57.9303
SPX,10/5/1962 12:00:00 AM,56.7,57.3,56.55,57.07,57.8965
SPX,10/8/1962 12:00:00 AM,57.07,57.41,56.68,57.07,57.8641
SPX,10/9/1962 12:00:00 AM,57.07,57.4,56.71,57.2,57.8381
SPX,10/10/1962 12:00:00 AM,57.2,57.83,56.96,57.24,57.8146
SPX,10/11/1962 12:00:00 AM,57.24,57.46,56.78,57.05,57.7846
SPX,10/12/1962 12:00:00 AM,57.05,57.21,56.66,56.95,57.7519
SPX,10/15/1962 12:00:00 AM,56.95,57.5,56.66,57.27,57.733
SPX,10/16/1962 12:00:00 AM,57.27,57.63,56.87,57.08,57.7074
SPX,10/17/1962 12:00:00 AM,57.08,57.23,56.37,56.89,57.6753
SPX,10/18/1962 12:00:00 AM,56.89,57.02,56.18,56.34,57.623
SPX,10/19/1962 12:00:00 AM,56.34,56.54,55.34,55.59,57.5432
SPX,10/22/1962 12:00:00 AM,55.48,55.48,54.38,54.96,57.4419
SPX,10/23/1962 12:00:00 AM,54.96,55.19,53.24,53.49,57.287
SPX,10/24/1962 12:00:00 AM,53.49,55.44,52.55,55.21,57.2055
SPX,10/25/1962 12:00:00 AM,55.17,55.17,53.82,54.69,57.1069
SPX,10/26/1962 12:00:00 AM,54.69,54.96,54.08,54.54,57.0062
SPX,10/29/1962 12:00:00 AM,55.34,56.38,55.34,55.72,56.9558
SPX,10/30/1962 12:00:00 AM,55.72,56.84,55.52,56.54,56.9395
SPX,10/31/1962 12:00:00 AM,56.54,57,56.19,56.52,56.923
SPX,11/1/1962 12:00:00 AM,56.52,57.31,55.9,57.12,56.9307
SPX,11/2/1962 12:00:00 AM,57.12,58.19,56.78,57.75,56.9629
SPX,11/5/1962 12:00:00 AM,57.75,58.7,57.69,58.35,57.0173
SPX,11/7/1962 12:00:00 AM,58.35,59.11,57.76,58.71,57.0836
SPX,11/8/1962 12:00:00 AM,58.71,59.12,58.09,58.32,57.1321
SPX,11/9/1962 12:00:00 AM,58.32,58.99,57.9,58.78,57.1968
SPX,11/12/1962 12:00:00 AM,58.78,60,58.59,59.59,57.2906
SPX,11/13/1962 12:00:00 AM,59.59,60.06,59.06,59.46,57.3757
SPX,11/14/1962 12:00:00 AM,59.46,60.41,59.18,60.16,57.4849
SPX,11/15/1962 12:00:00 AM,60.16,60.67,59.74,59.97,57.5823
SPX,11/16/1962 12:00:00 AM,59.97,60.46,59.46,60.16,57.6834
SPX,11/19/1962 12:00:00 AM,60.16,60.42,59.46,59.82,57.7672
SPX,11/20/1962 12:00:00 AM,59.82,60.63,59.57,60.45,57.8724
SPX,11/21/1962 12:00:00 AM,60.45,61.18,60.19,60.81,57.9876
SPX,11/23/1962 12:00:00 AM,60.81,62.03,60.66,61.54,58.1269
SPX,11/26/1962 12:00:00 AM,61.54,62.13,60.95,61.36,58.2537
SPX,11/27/1962 12:00:00 AM,61.36,62.04,60.98,61.73,58.39
SPX,11/28/1962 12:00:00 AM,61.73,62.48,61.51,62.12,58.5363
SPX,11/29/1962 12:00:00 AM,62.12,67.72,61.69,62.41,58.6882
SPX,11/30/1962 12:00:00 AM,62.41,62.78,61.78,62.26,58.8283
SPX,12/3/1962 12:00:00 AM,62.26,62.45,61.28,61.94,58.9503
SPX,12/4/1962 12:00:00 AM,61.94,62.93,61.77,62.64,59.095
SPX,12/5/1962 12:00:00 AM,62.64,63.5,62.37,62.39,59.2242
SPX,12/6/1962 12:00:00 AM,62.39,63.36,62.28,62.93,59.3695
SPX,12/7/1962 12:00:00 AM,62.93,63.43,62.45,63.06,59.5143
SPX,12/10/1962 12:00:00 AM,63.06,63.35,61.96,62.27,59.6223
SPX,12/11/1962 12:00:00 AM,62.27,62.58,61.72,62.32,59.7281
SPX,12/12/1962 12:00:00 AM,62.32,63.16,62.13,62.63,59.8419
SPX,12/13/1962 12:00:00 AM,62.63,63.07,62.09,62.42,59.943
SPX,12/14/1962 12:00:00 AM,62.42,62.83,61.96,62.57,60.046
SPX,12/17/1962 12:00:00 AM,62.57,62.95,62.14,62.37,60.1372
SPX,12/18/1962 12:00:00 AM,62.37,62.66,61.78,62.07,60.213
SPX,12/19/1962 12:00:00 AM,62.07,62.81,61.72,62.58,60.3058
SPX,12/20/1962 12:00:00 AM,62.58,63.28,62.44,62.82,60.4044
SPX,12/21/1962 12:00:00 AM,62.82,63.13,62.26,62.64,60.4921
SPX,12/24/1962 12:00:00 AM,62.64,63.03,62.19,62.63,60.5759
SPX,12/26/1962 12:00:00 AM,62.63,63.32,62.56,63.02,60.6718
SPX,12/27/1962 12:00:00 AM,63.02,63.41,62.67,62.93,60.7603
SPX,12/28/1962 12:00:00 AM,62.93,63.25,62.53,62.96,60.8466
SPX,12/31/1962 12:00:00 AM,62.96,63.43,62.68,63.1,60.9349
SPX,1/2/1963 12:00:00 AM,63.1,63.39,62.32,62.69,61.0038
SPX,1/3/1963 12:00:00 AM,62.69,63.89,62.67,63.72,61.1103
SPX,1/4/1963 12:00:00 AM,63.72,64.45,63.57,64.13,61.2287
SPX,1/7/1963 12:00:00 AM,64.13,64.59,63.67,64.12,61.3421
SPX,1/8/1963 12:00:00 AM,64.12,64.98,64,64.74,61.4753
SPX,1/9/1963 12:00:00 AM,64.74,65.22,64.32,64.59,61.5975
SPX,1/10/1963 12:00:00 AM,64.59,65.16,64.33,64.71,61.7195
SPX,1/11/1963 12:00:00 AM,64.71,65.1,64.31,64.85,61.8423
SPX,1/14/1963 12:00:00 AM,64.85,65.5,64.61,65.2,61.974
SPX,1/15/1963 12:00:00 AM,65.2,65.62,64.82,65.11,62.097
SPX,1/16/1963 12:00:00 AM,65.11,65.25,64.42,64.67,62.1979
SPX,1/17/1963 12:00:00 AM,64.67,65.4,64.35,65.13,62.3129
SPX,1/18/1963 12:00:00 AM,65.13,65.7,64.86,65.18,62.4253
SPX,1/21/1963 12:00:00 AM,65.18,65.52,64.64,65.28,62.5372
SPX,1/22/1963 12:00:00 AM,65.28,65.8,65.03,65.44,62.6511
SPX,1/23/1963 12:00:00 AM,65.44,65.91,65.23,65.62,62.7675
SPX,1/24/1963 12:00:00 AM,65.62,66.09,65.33,65.75,62.8845
SPX,1/25/1963 12:00:00 AM,65.75,66.23,65.38,65.92,63.0035
SPX,1/28/1963 12:00:00 AM,65.92,66.59,65.77,66.24,63.1304
SPX,1/29/1963 12:00:00 AM,66.24,66.58,65.83,66.23,63.252
SPX,1/30/1963 12:00:00 AM,66.23,66.33,65.55,65.85,63.3539
SPX,1/31/1963 12:00:00 AM,65.85,66.45,65.51,66.2,63.4655
SPX,2/1/1963 12:00:00 AM,66.31,66.31,66.31,66.31,63.577
SPX,2/4/1963 12:00:00 AM,66.31,66.66,65.89,66.17,63.6787
SPX,2/5/1963 12:00:00 AM,66.17,66.35,65.38,66.11,63.7741
SPX,2/6/1963 12:00:00 AM,66.11,66.76,65.88,66.4,63.877
SPX,2/7/1963 12:00:00 AM,66.4,66.81,65.91,66.17,63.967
SPX,2/8/1963 12:00:00 AM,66.17,66.45,65.65,66.17,64.0533
SPX,2/11/1963 12:00:00 AM,66.17,66.41,65.5,65.76,64.1203
SPX,2/12/1963 12:00:00 AM,65.76,66.01,65.16,65.83,64.1873
SPX,2/13/1963 12:00:00 AM,65.83,66.53,65.56,66.15,64.2643
SPX,2/14/1963 12:00:00 AM,66.15,66.75,65.93,66.35,64.3461
SPX,2/15/1963 12:00:00 AM,66.35,66.74,65.96,66.41,64.427
SPX,2/18/1963 12:00:00 AM,66.41,66.96,66.1,66.52,64.5091
SPX,2/19/1963 12:00:00 AM,66.52,66.67,65.92,66.2,64.5754
SPX,2/20/1963 12:00:00 AM,66.2,66.28,65.44,65.83,64.6246
SPX,2/21/1963 12:00:00 AM,65.83,66.23,65.36,65.92,64.6754
SPX,2/25/1963 12:00:00 AM,65.92,66.09,65.24,65.46,64.7062
SPX,2/26/1963 12:00:00 AM,65.46,65.86,65.06,65.47,64.7361
SPX,2/27/1963 12:00:00 AM,65.47,65.74,64.86,65.01,64.7469
SPX,2/28/1963 12:00:00 AM,65.01,65.14,64.08,64.29,64.729
SPX,3/1/1963 12:00:00 AM,64.29,64.75,63.8,64.1,64.7043
SPX,3/4/1963 12:00:00 AM,64.1,65.08,63.88,64.72,64.7049
SPX,3/5/1963 12:00:00 AM,64.72,65.27,64.41,64.74,64.7063
SPX,3/6/1963 12:00:00 AM,64.74,65.06,64.31,64.85,64.7119
SPX,3/7/1963 12:00:00 AM,64.85,65.6,64.81,65.26,64.7334
SPX,3/8/1963 12:00:00 AM,65.26,65.74,65.03,65.33,64.7568
SPX,3/11/1963 12:00:00 AM,65.33,65.86,65.11,65.51,64.7863
SPX,3/12/1963 12:00:00 AM,65.51,65.97,65.26,65.67,64.821
SPX,3/13/1963 12:00:00 AM,65.67,66.27,65.54,65.91,64.8637
SPX,3/14/1963 12:00:00 AM,65.91,66.21,65.39,65.6,64.8926
SPX,3/15/1963 12:00:00 AM,65.6,66.22,65.39,65.93,64.9333
SPX,3/18/1963 12:00:00 AM,65.93,66.17,65.36,65.61,64.9598
SPX,3/19/1963 12:00:00 AM,65.61,65.85,65.19,65.47,64.9798
SPX,3/20/1963 12:00:00 AM,65.47,66.15,65.3,65.95,65.0179
SPX,3/21/1963 12:00:00 AM,65.95,66.25,65.6,65.85,65.0505
SPX,3/22/1963 12:00:00 AM,65.85,66.44,65.68,66.19,65.0952
SPX,3/25/1963 12:00:00 AM,66.19,66.6,65.92,66.21,65.1389
SPX,3/26/1963 12:00:00 AM,66.21,66.73,66.01,66.4,65.1883
SPX,3/27/1963 12:00:00 AM,66.4,66.93,66.21,66.68,65.2468
SPX,3/28/1963 12:00:00 AM,66.68,67.01,66.32,66.58,65.2991
SPX,3/29/1963 12:00:00 AM,66.58,66.9,66.23,66.57,65.349
SPX,4/1/1963 12:00:00 AM,66.57,67.18,66.23,66.85,65.4078
SPX,4/2/1963 12:00:00 AM,66.85,67.36,66.51,66.84,65.464
SPX,4/3/1963 12:00:00 AM,66.84,67.55,66.63,67.36,65.5383
SPX,4/4/1963 12:00:00 AM,67.36,68.12,67.28,67.85,65.629
SPX,4/5/1963 12:00:00 AM,67.85,68.46,67.46,68.28,65.733
SPX,4/8/1963 12:00:00 AM,68.28,68.91,68.05,68.52,65.8423
SPX,4/9/1963 12:00:00 AM,68.52,68.84,68.03,68.45,65.9445
SPX,4/10/1963 12:00:00 AM,68.45,68.89,67.66,68.29,66.0365
SPX,4/11/1963 12:00:00 AM,68.29,69.07,67.97,68.77,66.1437
SPX,4/15/1963 12:00:00 AM,68.77,69.56,68.58,69.09,66.2592
SPX,4/16/1963 12:00:00 AM,69.09,69.61,68.66,69.14,66.3722
SPX,4/17/1963 12:00:00 AM,69.14,69.37,68.47,68.92,66.4721
SPX,4/18/1963 12:00:00 AM,68.92,69.34,68.56,68.89,66.5669
SPX,4/19/1963 12:00:00 AM,68.89,69.46,68.6,69.23,66.6714
SPX,4/22/1963 12:00:00 AM,69.23,69.82,69.01,69.3,66.7745
SPX,4/23/1963 12:00:00 AM,69.3,69.83,68.95,69.53,66.8825
SPX,4/24/1963 12:00:00 AM,69.53,70.12,69.34,69.72,66.9938
SPX,4/25/1963 12:00:00 AM,69.72,70.08,69.25,69.76,67.1023
SPX,4/26/1963 12:00:00 AM,69.76,70.11,69.23,69.7,67.2041
SPX,4/29/1963 12:00:00 AM,69.7,70.04,69.26,69.65,67.3001
SPX,4/30/1963 12:00:00 AM,69.65,70.18,69.26,69.8,67.3981
SPX,5/2/1963 12:00:00 AM,69.97,70.5,69.75,70.17,67.5068
SPX,5/3/1963 12:00:00 AM,70.17,70.51,69.78,70.03,67.6057
SPX,5/6/1963 12:00:00 AM,70.03,70.31,69.32,69.53,67.6812
SPX,5/7/1963 12:00:00 AM,69.53,69.92,69.03,69.44,67.7502
SPX,5/8/1963 12:00:00 AM,69.44,70.24,69.23,70.01,67.8388
SPX,5/9/1963 12:00:00 AM,70.01,70.74,69.86,70.35,67.9373
SPX,5/10/1963 12:00:00 AM,70.35,70.81,69.99,70.52,68.0386
SPX,5/13/1963 12:00:00 AM,70.52,70.89,70.11,70.48,68.1343
SPX,5/14/1963 12:00:00 AM,70.48,70.73,69.92,70.21,68.2157
SPX,5/15/1963 12:00:00 AM,70.21,70.77,69.87,70.43,68.3025
