"Symbol,DateTime,Open,High,Low,Close"
"SPX,1/2/1998 12:00:00 AM,970.43,975.04,965.73,975"
"SPX,1/5/1998 12:00:00 AM,975.21,982.63,969,977.07"
"SPX,1/6/1998 12:00:00 AM,977.07,977.07,962.68,966.58"
"SPX,1/7/1998 12:00:00 AM,966.58,966.58,952.67,964"
"SPX,1/8/1998 12:00:00 AM,964,964,955.04,956.04"
"SPX,1/9/1998 12:00:00 AM,956.05,956.05,921.72,927.69"
"SPX,1/12/1998 12:00:00 AM,927.69,939.25,912.83,939.21"
"SPX,1/13/1998 12:00:00 AM,939.21,952.14,939.21,952.13"
"SPX,1/14/1998 12:00:00 AM,952.12,958.12,948,957.94"
"SPX,1/15/1998 12:00:00 AM,957.94,957.94,950.27,950.73"
"SPX,1/16/1998 12:00:00 AM,950.73,965.12,950.73,961.51"
"SPX,1/20/1998 12:00:00 AM,961.51,978.6,961.48,978.6"
"SPX,1/21/1998 12:00:00 AM,978.6,978.6,963.29,970.78"
"SPX,1/22/1998 12:00:00 AM,970.81,970.81,959.49,963.04"
"SPX,1/23/1998 12:00:00 AM,963.04,966.44,950.86,957.58"
"SPX,1/26/1998 12:00:00 AM,957.59,963.04,954.24,956.95"
"SPX,1/27/1998 12:00:00 AM,956.95,973.23,956.26,969.02"
"SPX,1/28/1998 12:00:00 AM,969.02,978.63,969.02,977.46"
"SPX,1/29/1998 12:00:00 AM,977.46,992.65,975.21,985.49"
"SPX,1/30/1998 12:00:00 AM,986.07,987.41,979.63,980.28"
"SPX,2/2/1998 12:00:00 AM,980.28,1002.48,980.28,1001.27"
"SPX,2/3/1998 12:00:00 AM,1001.27,1006.13,996.9,1006"
"SPX,2/4/1998 12:00:00 AM,1006,1009.52,999.43,1006.9"
"SPX,2/5/1998 12:00:00 AM,1006.9,1013.51,1000.27,1003.54"
"SPX,2/6/1998 12:00:00 AM,1003.54,1013.07,1003.36,1012.45"
"SPX,2/9/1998 12:00:00 AM,1012.46,1015.33,1006.28,1010.74"
"SPX,2/10/1998 12:00:00 AM,1010.74,1022.15,1010.71,1019.01"
"SPX,2/11/1998 12:00:00 AM,1019.01,1020.71,1016.38,1020.01"
"SPX,2/12/1998 12:00:00 AM,1020.01,1026.3001,1008.55,1024.14"
"SPX,2/13/1998 12:00:00 AM,1024.14,1024.14,1017.71,1020.09"
"SPX,2/17/1998 12:00:00 AM,1020.09,1028.02,1020.09,1022.76"
"SPX,2/18/1998 12:00:00 AM,1022.76,1032.0601,1021.7,1032.0601"
"SPX,2/19/1998 12:00:00 AM,1032.08,1032.93,1026.62,1028.28"
"SPX,2/20/1998 12:00:00 AM,1028.28,1034.21,1022.69,1034.21"
"SPX,2/23/1998 12:00:00 AM,1034.21,1038.68,1031.76,1038.14"
"SPX,2/24/1998 12:00:00 AM,1038.14,1038.73,1028.89,1030.5601"
"SPX,2/25/1998 12:00:00 AM,1030.5601,1045.79,1030.5601,1042.9"
"SPX,2/26/1998 12:00:00 AM,1042.9,1048.68,1039.85,1048.66"
"SPX,2/27/1998 12:00:00 AM,1048.67,1051.66,1044.4,1049.34"
"SPX,3/2/1998 12:00:00 AM,1049.34,1053.98,1044.6999,1047.6999"
"SPX,3/3/1998 12:00:00 AM,1047.6999,1052.02,1047.6999,1052.02"
"SPX,3/4/1998 12:00:00 AM,1052.02,1052.02,1042.74,1047.33"
"SPX,3/5/1998 12:00:00 AM,1047.33,1047.33,1030.87,1035.0501"
"SPX,3/6/1998 12:00:00 AM,1035.0501,1055.6899,1035.0501,1055.6899"
"SPX,3/9/1998 12:00:00 AM,1055.6899,1058.5501,1050.02,1052.3001"
"SPX,3/10/1998 12:00:00 AM,1052.3101,1064.59,1052.3101,1064.25"
"SPX,3/11/1998 12:00:00 AM,1064.25,1069.18,1064.22,1068.47"
"SPX,3/12/1998 12:00:00 AM,1068.47,1069.93,1063.54,1069.93"
"SPX,3/13/1998 12:00:00 AM,1069.92,1075.86,1066.57,1068.59"
"SPX,3/16/1998 12:00:00 AM,1068.61,1079.46,1068.61,1079.27"
"SPX,3/17/1998 12:00:00 AM,1079.27,1080.52,1073.29,1080.4499"
"SPX,3/18/1998 12:00:00 AM,1083.5,1085.52,1082.12,1085.52"
"SPX,3/19/1998 12:00:00 AM,1085.52,1089.74,1084.3001,1089.74"
"SPX,3/20/1998 12:00:00 AM,1089.74,1101.04,1089.39,1099.16"
"SPX,3/23/1998 12:00:00 AM,1099.16,1101.16,1094.25,1095.5501"
"SPX,3/24/1998 12:00:00 AM,1095.5501,1106.75,1095.5501,1105.65"
"SPX,3/25/1998 12:00:00 AM,1105.65,1113.07,1092.84,1101.92"
"SPX,3/26/1998 12:00:00 AM,1101.93,1106.28,1097,1100.8001"
"SPX,3/27/1998 12:00:00 AM,1100.8001,1106.22,1095.4399,1095.4399"
"SPX,3/30/1998 12:00:00 AM,1095.4399,1099.16,1090.02,1093.6"
"SPX,3/31/1998 12:00:00 AM,1093.5501,1110.13,1093.5501,1101.75"
"SPX,4/1/1998 12:00:00 AM,1101.75,1109.1899,1095.29,1108.13"
"SPX,4/2/1998 12:00:00 AM,1108.15,1120.01,1107.89,1120.01"
"SPX,4/3/1998 12:00:00 AM,1120.01,1126.36,1118.12,1122.6999"
"SPX,4/6/1998 12:00:00 AM,1122.6999,1131.99,1121.37,1121.39"
"SPX,4/7/1998 12:00:00 AM,1121.38,1121.38,1102.4399,1109.5501"
"SPX,4/8/1998 12:00:00 AM,1109.5501,1111.6,1098.21,1101.65"
"SPX,4/9/1998 12:00:00 AM,1101.65,1111.4499,1101.65,1110.67"
"SPX,4/13/1998 12:00:00 AM,1110.67,1110.75,1100.6,1109.6899"
"SPX,4/14/1998 12:00:00 AM,1109.6899,1115.9499,1109.48,1115.75"
"SPX,4/15/1998 12:00:00 AM,1115.75,1119.9,1112.24,1119.32"
"SPX,4/16/1998 12:00:00 AM,1119.32,1119.32,1105.27,1108.17"
"SPX,4/17/1998 12:00:00 AM,1108.17,1122.72,1104.9499,1122.72"
"SPX,4/20/1998 12:00:00 AM,1122.72,1124.88,1118.47,1123.65"
"SPX,4/21/1998 12:00:00 AM,1123.65,1129.65,1119.54,1126.34"
"SPX,4/22/1998 12:00:00 AM,1126.67,1132.98,1126.29,1130"
"SPX,4/23/1998 12:00:00 AM,1130.54,1130.54,1117.49,1119.58"
