Symbol,DateTime,Open,High,Low,Close,Volume,EMA,SuperTrend1,SuperTrend2,SuperTrend3,SuperTrend4,RSI,LowerBollingerBand,MiddleBollingerBand,UpperBollingerBand,macdValue,macdAvg
SPY,1/3/1994 12:00:00 AM,46.5938,46.6562,46.4062,46.4688,960900,46.7277,46.9992,47.0442,46.2608,46.0071,45.0527,46.3505,46.7281,47.1058,0.0576,0.0801
SPY,1/4/1994 12:00:00 AM,46.5312,46.6562,46.4688,46.6562,164300,46.7134,46.732,46.7919,46.0142,45.7608,49.8331,46.3446,46.7172,47.0898,0.0478,0.0737
SPY,1/5/1994 12:00:00 AM,46.7188,46.7812,46.5312,46.75,710900,46.7208,46.7354,46.8098,46.0691,45.824,52.078,46.344,46.7125,47.081,0.0471,0.0683
SPY,1/6/1994 12:00:00 AM,46.8125,46.8438,46.6875,46.75,201000,46.7266,46.4825,46.9041,46.1618,45.916,52.078,46.3438,46.7078,47.0719,0.0459,0.0639
SPY,1/7/1994 12:00:00 AM,46.8438,47.0625,46.7188,47.0312,775500,46.7875,46.6176,46.9968,46.3015,46.0672,58.5341,46.3349,46.725,47.1151,0.067,0.0645
SPY,1/10/1994 12:00:00 AM,47.0938,47.5938,46.9688,47.5938,593700,46.9488,46.7056,46.639,46.3893,46.141,67.8601,46.2368,46.775,47.3132,0.1276,0.0771
SPY,1/11/1994 12:00:00 AM,47.5625,47.5625,47.3438,47.5,295200,47.059,46.9952,46.9617,46.6551,46.3585,65.227,46.1826,46.8062,47.4299,0.1661,0.0949
SPY,1/12/1994 12:00:00 AM,47.5312,47.5312,47.1875,47.3438,158400,47.116,47.2115,47.1462,46.848,46.5569,60.9801,46.195,46.8469,47.4988,0.1819,0.1123
SPY,1/13/1994 12:00:00 AM,47.2188,47.3125,47.1562,47.2188,244300,47.1365,47.1182,47.0458,46.7405,46.4424,57.7411,46.2375,46.8844,47.5312,0.1823,0.1263
SPY,1/14/1994 12:00:00 AM,47.375,47.5,47.375,47.4062,137200,47.1905,47.0371,46.9437,46.6562,46.3719,61.0805,46.2502,46.9234,47.5967,0.1955,0.1401
SPY,1/17/1994 12:00:00 AM,47.4062,47.4688,47.3125,47.4062,17700,47.2336,47.2404,47.1486,46.8619,46.5779,61.0805,46.2824,46.9656,47.6488,0.2036,0.1528
SPY,1/18/1994 12:00:00 AM,47.4688,47.5312,47.375,47.4688,166400,47.2806,47.2286,47.1258,46.8589,46.5912,62.2342,46.3099,47.0078,47.7057,0.2126,0.1648
SPY,1/19/1994 12:00:00 AM,47.4062,47.4688,47.25,47.3438,200800,47.2933,47.3122,47.208,46.9579,46.7046,58.4992,46.3853,47.0516,47.7178,0.2072,0.1733
SPY,1/20/1994 12:00:00 AM,47.4062,47.5,47.375,47.4688,281100,47.3284,47.2136,47.1191,46.8738,46.625,61.0186,46.4082,47.0859,47.7637,0.2106,0.1807
SPY,1/21/1994 12:00:00 AM,47.5312,47.5312,47.3438,47.375,85600,47.3377,47.3063,47.2125,46.9808,46.744,58.1665,46.4467,47.1172,47.7877,0.2034,0.1853
SPY,1/24/1994 12:00:00 AM,47.3438,47.5625,47.1875,47.1875,373800,47.3077,47.3063,47.2193,46.9944,46.7642,52.8463,46.4576,47.1266,47.7955,0.1805,0.1843
SPY,1/25/1994 12:00:00 AM,47.2188,47.25,47.0938,47.1875,310400,47.2836,47.5587,47.6217,46.8807,46.6322,52.8463,46.462,47.1313,47.8005,0.1605,0.1796
SPY,1/26/1994 12:00:00 AM,47.1875,47.3438,47.125,47.3125,145100,47.2894,47.3259,47.4021,46.7079,46.4712,55.9607,46.4732,47.1453,47.8174,0.153,0.1742
SPY,1/27/1994 12:00:00 AM,47.4062,47.8125,47.3438,47.75,344500,47.3815,47.388,47.4625,46.7748,46.5405,64.7389,46.4847,47.1906,47.8966,0.1802,0.1754
SPY,1/28/1994 12:00:00 AM,47.9375,48.0312,47.875,47.875,356500,47.4802,47.3459,47.3005,47.0285,46.7603,66.7766,46.5445,47.2547,47.9649,0.2095,0.1823
SPY,1/31/1994 12:00:00 AM,48.0625,48.3125,48,48.2188,313800,47.6279,47.7351,47.6749,47.4014,47.1313,71.6315,46.61,47.3422,48.0744,0.2575,0.1973
SPY,2/1/1994 12:00:00 AM,48.1562,48.1562,47.9062,47.9688,303600,47.6961,47.9029,47.849,47.5506,47.2589,64.2751,46.6984,47.4078,48.1173,0.2722,0.2123
SPY,2/2/1994 12:00:00 AM,48.125,48.2812,48.0938,48.2812,307600,47.8131,47.7917,47.7231,47.4224,47.1277,68.6141,46.7455,47.4844,48.2232,0.3055,0.2309
SPY,2/3/1994 12:00:00 AM,48.1875,48.1875,47.9062,48.0625,466100,47.863,47.9563,47.8785,47.5759,47.2788,62.8588,46.8517,47.55,48.2483,0.3107,0.2469
SPY,2/4/1994 12:00:00 AM,48.0625,48.125,46.9688,46.9688,1403200,47.6841,47.8032,47.7259,47.4122,47.1049,43.3014,46.8388,47.5469,48.2549,0.224,0.2423
SPY,2/7/1994 12:00:00 AM,46.8438,47.3125,46.8438,47.1875,516400,47.5848,48.0169,48.0197,48.4612,48.8776,46.8623,46.8019,47.5266,48.2512,0.1709,0.228
SPY,2/8/1994 12:00:00 AM,47.2812,47.2812,47.0312,47.2188,188200,47.5116,47.4914,47.5502,47.9963,48.4205,47.3708,46.7755,47.5125,48.2495,0.1299,0.2084
SPY,2/9/1994 12:00:00 AM,47.25,47.4375,47.1875,47.4062,144600,47.4905,47.4742,47.588,48.0047,48.4075,50.4357,46.781,47.5156,48.2502,0.1113,0.189
SPY,2/10/1994 12:00:00 AM,47.375,47.4062,47,47,883900,47.3924,47.5733,47.7112,48.1029,48.4866,44.4023,46.7466,47.5047,48.2628,0.063,0.1638
SPY,2/11/1994 12:00:00 AM,47.0312,47.2812,46.8125,47.1562,519400,47.3452,47.4733,47.6032,47.9972,48.3841,47.027,46.7199,47.4922,48.2645,0.0369,0.1384
SPY,2/14/1994 12:00:00 AM,47.0625,47.375,47,47.2188,2742100,47.3199,47.3403,47.4594,47.8648,48.2625,48.0829,46.7021,47.4828,48.2636,0.021,0.1149
SPY,2/15/1994 12:00:00 AM,47.3125,47.5,47.25,47.4688,374700,47.3497,47.4685,47.5932,47.9941,48.3892,52.1879,46.7021,47.4828,48.2636,0.0283,0.0976
SPY,2/16/1994 12:00:00 AM,47.5312,47.5312,47.3438,47.4375,287600,47.3672,47.1276,47.7581,48.141,48.5216,51.6382,46.709,47.4875,48.266,0.0312,0.0843
SPY,2/17/1994 12:00:00 AM,47.6562,47.6875,47.0312,47.1562,342400,47.325,47.2366,47.785,48.1383,48.4943,46.8554,46.6801,47.4719,48.2637,0.0106,0.0696
SPY,2/18/1994 12:00:00 AM,47.1875,47.2188,46.75,46.875,313300,47.235,47.6637,47.763,48.1621,48.5564,42.6056,46.6139,47.4469,48.2798,-0.028,0.0501
SPY,2/22/1994 12:00:00 AM,47,47.3438,47,47.3438,154500,47.2568,47.2982,47.3999,47.8096,48.2136,50.641,46.6287,47.4547,48.2807,-0.0206,0.0359
SPY,2/23/1994 12:00:00 AM,47.4062,47.4375,47.0625,47.2188,391700,47.2492,46.8523,47.5971,48.0158,48.4284,48.6836,46.6322,47.4562,48.2803,-0.0245,0.0238
SPY,2/24/1994 12:00:00 AM,47.0625,47.0625,46.5625,46.5938,770800,47.1181,46.9533,47.6661,48.0783,48.4863,40.2968,46.5156,47.4203,48.325,-0.0772,0.0036
SPY,2/25/1994 12:00:00 AM,46.6562,46.8125,46.5625,46.8125,531300,47.057,47.1743,47.2722,47.7215,48.1614,43.9371,46.445,47.3734,48.3018,-0.1001,-0.0171
SPY,2/28/1994 12:00:00 AM,46.9375,47.0625,46.8125,46.8125,333000,47.0081,46.9746,47.1091,47.5283,47.9443,43.9371,46.3912,47.3203,48.2494,-0.1169,-0.0371
SPY,3/1/1994 12:00:00 AM,46.8125,46.9062,46.375,46.625,423600,46.9315,47.1797,47.3279,47.7215,48.1163,41.4262,46.3614,47.2406,48.1199,-0.1437,-0.0584
SPY,3/2/1994 12:00:00 AM,46.0312,46.6875,45.9062,46.6875,581500,46.8827,46.9347,47.0566,47.471,47.8833,42.6037,46.3329,47.1766,48.0203,-0.1581,-0.0783
SPY,3/3/1994 12:00:00 AM,46.625,46.625,46.4375,46.5625,223200,46.8186,46.6921,46.7793,47.2493,47.7089,40.8355,46.3739,47.0906,47.8073,-0.1775,-0.0982
SPY,3/4/1994 12:00:00 AM,46.5625,46.8125,46.4062,46.6875,595800,46.7924,46.8384,46.9714,47.4083,47.8415,43.3667,46.4402,47.0219,47.6035,-0.1807,-0.1147
SPY,3/7/1994 12:00:00 AM,46.8438,47,46.8438,46.9375,539800,46.8214,46.9074,47.0434,47.4757,47.9055,48.1449,46.4379,47.0203,47.6027,-0.1612,-0.124
SPY,3/8/1994 12:00:00 AM,46.9688,46.9688,46.6875,46.75,880300,46.8071,46.6556,47.3338,47.7479,48.1628,45.0733,46.41,46.9984,47.5869,-0.1591,-0.131
SPY,3/9/1994 12:00:00 AM,46.8125,47,46.5938,46.9688,2500100,46.8395,46.5896,47.2163,47.6103,48.008,49.1493,46.4062,46.9859,47.5657,-0.1382,-0.1324
SPY,3/10/1994 12:00:00 AM,46.9375,46.9375,46.4375,46.5938,207400,46.7903,46.54,47.1883,47.5841,47.9827,43.2272,46.3753,46.9453,47.5154,-0.1501,-0.136
SPY,3/11/1994 12:00:00 AM,46.6562,46.9062,46.4062,46.8438,576600,46.801,46.3846,47.1044,47.5206,47.9361,47.7475,46.3664,46.9375,47.5086,-0.1378,-0.1363
SPY,3/14/1994 12:00:00 AM,47.0312,47.0312,46.8438,46.9062,345900,46.8221,46.3345,47.0882,47.5172,47.9435,48.844,46.3627,46.925,47.4873,-0.1216,-0.1334
SPY,3/15/1994 12:00:00 AM,47,47.0938,46.8438,46.875,748600,46.8326,46.692,47.325,47.7174,48.1133,48.2983,46.3617,46.9078,47.4539,-0.11,-0.1287
SPY,3/16/1994 12:00:00 AM,46.9375,47.25,46.7812,47.25,455500,46.9161,46.7514,47.3313,47.702,48.079,54.8221,46.3887,46.8969,47.4051,-0.0698,-0.1169
SPY,3/17/1994 12:00:00 AM,47.0938,47.3125,47.0938,47.25,133000,46.9829,46.754,47.3975,47.7829,48.1714,54.8221,46.4138,46.8875,47.3612,-0.0375,-0.101
SPY,3/18/1994 12:00:00 AM,46.75,47.0312,46.7188,46.9688,365500,46.9801,46.9849,47.5553,47.9155,48.2821,49.4001,46.4189,46.8781,47.3374,-0.0341,-0.0877
SPY,3/21/1994 12:00:00 AM,46.8125,46.9375,46.7188,46.8438,324800,46.9528,47.1547,47.2597,47.6457,48.0331,47.1674,46.4171,46.8766,47.336,-0.0411,-0.0784
SPY,3/22/1994 12:00:00 AM,46.8438,47.0625,46.75,46.9688,435700,46.956,47.0659,47.1884,47.5537,47.9235,49.6196,46.4482,46.8578,47.2674,-0.0362,-0.0699
SPY,3/23/1994 12:00:00 AM,46.9375,47.0625,46.9062,46.9375,698500,46.9523,47.1364,47.2578,47.6151,47.9773,49.0072,46.4667,46.8438,47.2208,-0.0344,-0.0628
SPY,3/24/1994 12:00:00 AM,46.75,46.8438,46.1562,46.375,1200500,46.8368,47.1662,47.3004,47.6271,47.9628,39.5459,46.4167,46.8328,47.2489,-0.0774,-0.0657
SPY,3/25/1994 12:00:00 AM,46.4062,46.5312,45.9375,45.9375,100900,46.657,46.8279,46.9006,47.2961,47.6885,34.0412,46.2183,46.7891,47.3598,-0.1452,-0.0816
SPY,3/28/1994 12:00:00 AM,46,46.0625,45.5938,46,1117200,46.5256,46.5973,46.6701,47.0957,47.514,35.4241,46.0824,46.7484,47.4144,-0.1916,-0.1036
SPY,3/29/1994 12:00:00 AM,46,46.0312,45.0938,45.0938,338400,46.2392,46.1772,46.2699,46.7021,47.1273,26.687,45.6897,46.6719,47.654,-0.2981,-0.1425
SPY,3/30/1994 12:00:00 AM,45.125,45.25,44.4688,44.4688,1123900,45.8851,46.0344,46.0944,46.6033,47.0945,22.5552,45.1876,46.5609,47.9343,-0.428,-0.1996
SPY,3/31/1994 12:00:00 AM,44.4688,44.6875,43.5312,44.5938,788800,45.6268,45.3613,45.4366,45.9871,46.5162,25.0544,44.8434,46.4625,48.0816,-0.5149,-0.2627
SPY,4/4/1994 12:00:00 AM,43.3438,44.0312,43.3438,43.9062,2627300,45.2827,44.7343,44.7919,45.4346,46.045,21.034,44.3637,46.3234,48.2832,-0.632,-0.3365
SPY,4/5/1994 12:00:00 AM,44.3438,44.8125,44.3438,44.8125,1179000,45.1887,44.4124,44.4732,45.2085,45.9022,35.6848,44.1735,46.2172,48.2609,-0.6442,-0.3981
SPY,4/6/1994 12:00:00 AM,44.875,44.9062,44.5,44.8125,516500,45.1134,43.8894,43.7705,46.1477,46.8704,35.6848,44.0044,46.1203,48.2362,-0.6465,-0.4478
SPY,4/7/1994 12:00:00 AM,44.7812,45.125,44.5312,45.0312,666100,45.097,44.1761,43.9685,46.1465,46.8302,38.8603,43.8944,46.0234,48.1525,-0.6234,-0.4829
