Symbol,DateTime,Open,High,Low,Close,Volume,EMA,SuperTrend1,SuperTrend2,SuperTrend3,SuperTrend4
SPY,1/3/1994 12:00:00 AM,46.5938,46.6562,46.4062,46.4688,960900,46.7277,46.9992,47.0442,46.2608,46.0071
SPY,1/4/1994 12:00:00 AM,46.5312,46.6562,46.4688,46.6562,164300,46.7134,46.732,46.7919,46.0142,45.7608
SPY,1/5/1994 12:00:00 AM,46.7188,46.7812,46.5312,46.75,710900,46.7208,46.7354,46.8098,46.0691,45.824
SPY,1/6/1994 12:00:00 AM,46.8125,46.8438,46.6875,46.75,201000,46.7266,46.4825,46.9041,46.1618,45.916
SPY,1/7/1994 12:00:00 AM,46.8438,47.0625,46.7188,47.0312,775500,46.7875,46.6176,46.9968,46.3015,46.0672
SPY,1/10/1994 12:00:00 AM,47.0938,47.5938,46.9688,47.5938,593700,46.9488,46.7056,46.639,46.3893,46.141
SPY,1/11/1994 12:00:00 AM,47.5625,47.5625,47.3438,47.5,295200,47.059,46.9952,46.9617,46.6551,46.3585
SPY,1/12/1994 12:00:00 AM,47.5312,47.5312,47.1875,47.3438,158400,47.116,47.2115,47.1462,46.848,46.5569
SPY,1/13/1994 12:00:00 AM,47.2188,47.3125,47.1562,47.2188,244300,47.1365,47.1182,47.0458,46.7405,46.4424
SPY,1/14/1994 12:00:00 AM,47.375,47.5,47.375,47.4062,137200,47.1905,47.0371,46.9437,46.6562,46.3719
SPY,1/17/1994 12:00:00 AM,47.4062,47.4688,47.3125,47.4062,17700,47.2336,47.2404,47.1486,46.8619,46.5779
SPY,1/18/1994 12:00:00 AM,47.4688,47.5312,47.375,47.4688,166400,47.2806,47.2286,47.1258,46.8589,46.5912
SPY,1/19/1994 12:00:00 AM,47.4062,47.4688,47.25,47.3438,200800,47.2933,47.3122,47.208,46.9579,46.7046
SPY,1/20/1994 12:00:00 AM,47.4062,47.5,47.375,47.4688,281100,47.3284,47.2136,47.1191,46.8738,46.625
SPY,1/21/1994 12:00:00 AM,47.5312,47.5312,47.3438,47.375,85600,47.3377,47.3063,47.2125,46.9808,46.744
SPY,1/24/1994 12:00:00 AM,47.3438,47.5625,47.1875,47.1875,373800,47.3077,47.3063,47.2193,46.9944,46.7642
SPY,1/25/1994 12:00:00 AM,47.2188,47.25,47.0938,47.1875,310400,47.2836,47.5587,47.6217,46.8807,46.6322
SPY,1/26/1994 12:00:00 AM,47.1875,47.3438,47.125,47.3125,145100,47.2894,47.3259,47.4021,46.7079,46.4712
SPY,1/27/1994 12:00:00 AM,47.4062,47.8125,47.3438,47.75,344500,47.3815,47.388,47.4625,46.7748,46.5405
SPY,1/28/1994 12:00:00 AM,47.9375,48.0312,47.875,47.875,356500,47.4802,47.3459,47.3005,47.0285,46.7603
SPY,1/31/1994 12:00:00 AM,48.0625,48.3125,48,48.2188,313800,47.6279,47.7351,47.6749,47.4014,47.1313
SPY,2/1/1994 12:00:00 AM,48.1562,48.1562,47.9062,47.9688,303600,47.6961,47.9029,47.849,47.5506,47.2589
SPY,2/2/1994 12:00:00 AM,48.125,48.2812,48.0938,48.2812,307600,47.8131,47.7917,47.7231,47.4224,47.1277
SPY,2/3/1994 12:00:00 AM,48.1875,48.1875,47.9062,48.0625,466100,47.863,47.9563,47.8785,47.5759,47.2788
SPY,2/4/1994 12:00:00 AM,48.0625,48.125,46.9688,46.9688,1403200,47.6841,47.8032,47.7259,47.4122,47.1049
SPY,2/7/1994 12:00:00 AM,46.8438,47.3125,46.8438,47.1875,516400,47.5848,48.0169,48.0197,48.4612,48.8776
SPY,2/8/1994 12:00:00 AM,47.2812,47.2812,47.0312,47.2188,188200,47.5116,47.4914,47.5502,47.9963,48.4205
SPY,2/9/1994 12:00:00 AM,47.25,47.4375,47.1875,47.4062,144600,47.4905,47.4742,47.588,48.0047,48.4075
SPY,2/10/1994 12:00:00 AM,47.375,47.4062,47,47,883900,47.3924,47.5733,47.7112,48.1029,48.4866
SPY,2/11/1994 12:00:00 AM,47.0312,47.2812,46.8125,47.1562,519400,47.3452,47.4733,47.6032,47.9972,48.3841
SPY,2/14/1994 12:00:00 AM,47.0625,47.375,47,47.2188,2742100,47.3199,47.3403,47.4594,47.8648,48.2625
SPY,2/15/1994 12:00:00 AM,47.3125,47.5,47.25,47.4688,374700,47.3497,47.4685,47.5932,47.9941,48.3892
SPY,2/16/1994 12:00:00 AM,47.5312,47.5312,47.3438,47.4375,287600,47.3672,47.1276,47.7581,48.141,48.5216
SPY,2/17/1994 12:00:00 AM,47.6562,47.6875,47.0312,47.1562,342400,47.325,47.2366,47.785,48.1383,48.4943
SPY,2/18/1994 12:00:00 AM,47.1875,47.2188,46.75,46.875,313300,47.235,47.6637,47.763,48.1621,48.5564
SPY,2/22/1994 12:00:00 AM,47,47.3438,47,47.3438,154500,47.2568,47.2982,47.3999,47.8096,48.2136
SPY,2/23/1994 12:00:00 AM,47.4062,47.4375,47.0625,47.2188,391700,47.2492,46.8523,47.5971,48.0158,48.4284
SPY,2/24/1994 12:00:00 AM,47.0625,47.0625,46.5625,46.5938,770800,47.1181,46.9533,47.6661,48.0783,48.4863
SPY,2/25/1994 12:00:00 AM,46.6562,46.8125,46.5625,46.8125,531300,47.057,47.1743,47.2722,47.7215,48.1614
SPY,2/28/1994 12:00:00 AM,46.9375,47.0625,46.8125,46.8125,333000,47.0081,46.9746,47.1091,47.5283,47.9443
SPY,3/1/1994 12:00:00 AM,46.8125,46.9062,46.375,46.625,423600,46.9315,47.1797,47.3279,47.7215,48.1163
SPY,3/2/1994 12:00:00 AM,46.0312,46.6875,45.9062,46.6875,581500,46.8827,46.9347,47.0566,47.471,47.8833
SPY,3/3/1994 12:00:00 AM,46.625,46.625,46.4375,46.5625,223200,46.8186,46.6921,46.7793,47.2493,47.7089
SPY,3/4/1994 12:00:00 AM,46.5625,46.8125,46.4062,46.6875,595800,46.7924,46.8384,46.9714,47.4083,47.8415
